"x","y","H5_cont","H5_disc","simple"
642.5,256.5,1,1,2
373.5,765.5,1.9375,1,2.9375
699.5,199.5,1.75,1,2.75
513.5,488.5,1,1,2
439.5,36.5,1,1,2
609.5,961.5,1,1,2
936.5,275.5,1,1,2
922.5,361.5,1,1,2
362.5,989.5,3.0625,1,4.0625
318.5,141.5,1,1,2
216.5,1015.5,1,1,2
426.5,913.5,1,1,2
280.5,52.5,1,1,2
745.5,445.5,1,1,2
632.5,609.5,3.625,1,4.625
466.5,599.5,1,1,2
739.5,225.5,1,1,2
111.5,456.5,1,1,2
108.5,466.5,2.125,1,3.125
676.5,844.5,1,1,2
618.5,619.5,1.5625,1,2.5625
652.5,135.5,2.125,1,3.125
707.5,134.5,1.75,1,2.75
696.5,195.5,1,1,2
982.5,570.5,1,1,2
107.5,890.5,2.3125,1,3.3125
150.5,819.5,1,1,2
804.5,133.5,1,1,2
786.5,357.5,1,1,2
519.5,397.5,1,1,2
940.5,460.5,2.875,1,3.875
400.5,716.5,1,1,2
406.5,56.5,1,1,2
103.5,469.5,1,1,2
647.5,291.5,1,1,2
782.5,364.5,1,1,2
517.5,608.5,1,1,2
555.5,122.5,1.375,1,2.375
532.5,862.5,1,1,2
516.5,318.5,1,1,2
427.5,1007.5,1,1,2
643.5,436.5,1,1,2
539.5,88.5,1.9375,1,2.9375
375.5,750.5,1,1,2
852.5,132.5,1,1,2
524.5,720.5,1,1,2
645.5,137.5,1.9375,1,2.9375
133.5,789.5,1,1,2
903.5,450.5,1,1,2
470.5,627.5,2.6875,1,3.6875
552.5,691.5,2.3125,1,3.3125
771.5,123.5,1,1,2
783.5,290.5,1,1,2
904.5,403.5,1,1,2
100.5,893.5,1,1,2
986.5,601.5,1,1,2
450.5,992.5,3.625,1,4.625
417.5,846.5,1.75,1,2.75
359.5,573.5,3.625,1,4.625
544.5,265.5,1,1,2
67.5,344.5,1.5625,1,2.5625
527.5,505.5,1,1,2
133.5,63.5,1,1,2
489.5,719.5,1,1,2
657.5,541.5,3.8125,1,4.8125
442.5,51.5,1,1,2
929.5,860.5,1,1,2
126.5,451.5,1,1,2
643.5,126.5,1.1875,1,2.1875
539.5,85.5,1,1,2
381.5,861.5,1,1,2
441.5,76.5,1,1,2
259.5,734.5,2.3125,1,3.3125
319.5,39.5,1,1,2
725.5,356.5,1,1,2
743.5,268.5,1,1,2
217.5,817.5,1,1,2
63.5,319.5,1.75,1,2.75
80.5,852.5,1,1,2
481.5,908.5,1,1,2
496.5,743.5,1,1,2
900.5,373.5,1,1,2
466.5,21.5,1,1,2
569.5,106.5,1,1,2
188.5,722.5,2.3125,1,3.3125
639.5,722.5,1,1,2
756.5,332.5,1,1,2
450.5,731.5,1.75,1,2.75
807.5,347.5,1,1,2
608.5,963.5,1,1,2
850.5,293.5,1,1,2
231.5,281.5,2.3125,1,3.3125
527.5,87.5,1,1,2
119.5,945.5,1,1,2
889.5,461.5,1,1,2
850.5,436.5,1,1,2
942.5,300.5,3.8125,1,4.8125
807.5,368.5,1,1,2
842.5,304.5,1,1,2
411.5,916.5,1,1,2
559.5,487.5,1,1,2
534.5,488.5,3.625,1,4.625
541.5,271.5,1,1,2
118.5,478.5,2.3125,1,3.3125
137.5,57.5,1,1,2
380.5,870.5,1,1,2
70.5,539.5,1,1,2
551.5,100.5,1,1,2
794.5,542.5,2.875,1,3.875
451.5,825.5,1,1,2
397.5,853.5,1,1,2
522.5,327.5,1,1,2
893.5,312.5,1,1,2
633.5,302.5,1,1,2
685.5,188.5,1,1,2
762.5,240.5,1,1,2
316.5,544.5,2.6875,1,3.6875
210.5,480.5,1,1,2
160.5,988.5,1,1,2
11.5,987.5,3.8125,1,4.8125
493.5,111.5,1,1,2
100.5,842.5,3.25,1,4.25
483.5,45.5,1,1,2
84.5,394.5,1,1,2
382.5,763.5,1,1,2
451.5,791.5,1,1,2
485.5,367.5,1,1,2
184.5,894.5,3.0625,1,4.0625
78.5,347.5,1,1,2
926.5,364.5,1,1,2
354.5,977.5,1,1,2
418.5,797.5,1,1,2
499.5,260.5,3.8125,1,4.8125
212.5,826.5,1,1,2
433.5,838.5,1,1,2
771.5,373.5,1,1,2
484.5,608.5,1,1,2
483.5,342.5,1,1,2
416.5,285.5,1,1,2
455.5,346.5,1,1,2
679.5,132.5,1,1,2
154.5,814.5,1,1,2
717.5,251.5,1,1,2
702.5,437.5,1,1,2
413.5,281.5,2.5,1,3.5
571.5,402.5,1.1875,1,2.1875
784.5,538.5,3.0625,1,4.0625
634.5,82.5,2.125,1,3.125
810.5,522.5,1,1,2
748.5,377.5,1,1,2
826.5,552.5,2.5,1,3.5
537.5,268.5,1,1,2
733.5,287.5,1,1,2
454.5,50.5,1,1,2
471.5,113.5,1,1,2
481.5,910.5,1,1,2
577.5,430.5,2.3125,1,3.3125
273.5,582.5,1,1,2
190.5,881.5,1.9375,1,2.9375
448.5,732.5,2.5,1,3.5
108.5,862.5,1,1,2
737.5,554.5,1,1,2
58.5,387.5,3.8125,1,4.8125
136.5,792.5,1.9375,1,2.9375
756.5,296.5,1,1,2
514.5,142.5,1,1,2
464.5,964.5,3.0625,1,4.0625
421.5,921.5,3.4375,1,4.4375
633.5,125.5,1,1,2
280.5,63.5,1.75,1,2.75
649.5,453.5,1,1,2
440.5,648.5,2.125,1,3.125
95.5,946.5,1,1,2
754.5,326.5,1,1,2
460.5,143.5,1,1,2
739.5,553.5,1,1,2
364.5,992.5,3.4375,1,4.4375
449.5,39.5,1,1,2
636.5,293.5,1,1,2
650.5,451.5,1,1,2
70.5,1001.5,1,1,2
576.5,92.5,1,1,2
72.5,853.5,1,1,2
128.5,789.5,1,1,2
241.5,754.5,1,1,2
101.5,962.5,1,1,2
897.5,378.5,1,1,2
702.5,268.5,1,1,2
404.5,718.5,1,1,2
653.5,441.5,1,1,2
73.5,859.5,1,1,2
561.5,94.5,1,1,2
12.5,356.5,1,1,2
452.5,743.5,1,1,2
648.5,115.5,2.6875,1,3.6875
265.5,587.5,1.75,1,2.75
533.5,92.5,1,1,2
451.5,615.5,1,1,2
604.5,955.5,1,1,2
505.5,265.5,1,1,2
591.5,453.5,1,1,2
530.5,7.5,1,1,2
508.5,314.5,1,1,2
229.5,751.5,1,1,2
471.5,140.5,1,1,2
158.5,38.5,1,1,2
350.5,47.5,1,1,2
954.5,269.5,1,1,2
